Issue Type,Issue key,Assignee,Status,Priority,Updated
Task,RBTWS-13890,gil9red,Resolved,Moderate/Major,14-09-2016 16:35
Bug,RBTWS-14481,gil9red,Closed,Ordinary,25-08-2016 17:37
Bug,RBTWS-13487,gil9red,Closed,Ordinary,24-08-2016 13:40
Sub-task,RBTWS-13478,gil9red,Resolved,Ordinary,23-08-2016 17:33
Task,STTXS-211,gil9red,Resolved,Ordinary,26-07-2016 08:17
New Feature,RBTWS-10410,gil9red,Closed,Ordinary,08-07-2016 20:14
New Feature,STTXS-214,gil9red,Resolved,Ordinary,04-07-2016 15:49
New Feature,RBTWS-11433,gil9red,Closed,Ordinary,21-06-2016 15:38
Bug,RBTWS-13577,gil9red,Resolved,Ordinary,14-06-2016 14:09
Task,TTOP-33,gil9red,Closed,Ordinary,03-06-2016 12:31
Task,TTOP-32,gil9red,Resolved,Ordinary,03-06-2016 12:31
Sub-task,TTOP-29,gil9red,Closed,Moderate/Major,03-06-2016 11:01
Sub-task,TTOP-25,gil9red,Closed,Ordinary,03-06-2016 11:01
Sub-task,TTOP-26,gil9red,Closed,Ordinary,03-06-2016 11:01
Sub-task,TTOP-27,gil9red,Closed,Ordinary,03-06-2016 11:01
Sub-task,TTOP-24,gil9red,Resolved,Ordinary,03-06-2016 11:01
Bug,RBTWS-12713,gil9red,Closed,Ordinary,31-05-2016 10:14
Bug,STTXS-209,gil9red,Resolved,Ordinary,23-05-2016 21:35
Question,RBTWS-12736,gil9red,Resolved,Ordinary,10-05-2016 13:33
Bug,RBTWS-12845,gil9red,Resolved,Ordinary,21-04-2016 10:24
Task,RBTWS-9805,gil9red,Closed,Ordinary,06-04-2016 17:03
Bug,STTXS-208,gil9red,Closed,Ordinary,05-04-2016 16:46
Question,STTXS-197,gil9red,Closed,Ordinary,05-04-2016 16:45
Bug,RBTWS-12385,gil9red,Resolved,Ordinary,01-04-2016 16:19
Task,STTXS-186,gil9red,Closed,Ordinary,25-03-2016 15:14
Task,RBTWS-11566,gil9red,Closed,Ordinary,15-02-2016 11:25
Bug,RBTWS-11921,gil9red,Resolved,Ordinary,05-02-2016 18:29
Task,RBTWS-9019,gil9red,Resolved,Info Request/Minor,28-01-2016 11:46
Bug,RBTWS-7166,gil9red,Closed,Ordinary,27-01-2016 16:33
Task,RBTWS-10386,gil9red,Resolved,Info Request/Minor,13-01-2016 13:52
Question,RBTWS-11238,gil9red,Closed,Ordinary,12-01-2016 12:29
Task,RBTWS-9023,gil9red,Closed,Ordinary,09-12-2015 13:37
Bug,RBTWS-9898,gil9red,Closed,Ordinary,09-12-2015 13:06
Question,RBTWS-11117,gil9red,Closed,Ordinary,03-12-2015 17:12
Sub-task,RBTWS-10712,gil9red,Closed,Ordinary,20-11-2015 17:29
Task,RBTWS-9939,gil9red,Closed,Info Request/Minor,20-11-2015 16:33
Question,RBTWS-11076,gil9red,Closed,Ordinary,20-11-2015 13:26
Bug,RBTWS-9433,gil9red,Closed,Ordinary,13-11-2015 15:00
Bug,STTXS-199,gil9red,Closed,Ordinary,05-11-2015 11:23
Sub-task,RBTWS-10711,gil9red,Closed,Ordinary,29-10-2015 15:38
Task,RBTWS-10713,gil9red,Closed,Ordinary,23-10-2015 18:02
Task,RBTWS-9612,gil9red,Closed,Ordinary,08-10-2015 16:56
Question,STTXS-200,gil9red,Closed,Ordinary,08-10-2015 16:56
Question,STTXS-195,gil9red,Closed,Ordinary,08-10-2015 16:56
Question,STTXS-196,gil9red,Closed,Moderate/Major,16-09-2015 15:04
